,movie,indication_year,number_indications,victories,percentage_victories,tmdb_id,imdb_id,budget,revenue,genres,production_countries
148,A Tale of Two Cities,1937,2,0,0.0,0,False,False,False,False,False
149,A Thousand Clowns,1966,4,1,25.0,42731,tt0059798,0,0,"['Comedy', 'Drama', 'Romance']",['US']
150,A Thousand and One Nights,1946,2,0,0.0,90984,tt0038165,0,0,['Adventure'],['US']
151,A Time Out of War,1955,1,1,100.0,163370,tt0047587,0,0,"['War', 'Drama']",['US']
152,A Time for Burning,1968,1,0,0.0,149306,tt0062372,0,0,['Documentary'],[]
153,A Time for Justice,1995,1,1,100.0,244878,tt0111436,0,0,[],[]
154,A Time to Love and a Time to Die,1959,1,0,0.0,84079,tt0052296,0,0,"['Drama', 'War', 'Romance']",['US']
155,A Touch of Class,1974,5,1,20.0,42458,tt0070819,0,0,"['Comedy', 'Romance']",['GB']
156,A Tree Grows in Brooklyn,1946,2,1,50.0,30177,tt0038190,0,0,['Drama'],['US']
157,A Very Long Engagement,2005,2,0,0.0,2841,tt0344510,47000000,0,['Drama'],['FR']
158,A Voice Is Born: The Story of Niklos Gafni,1948,1,0,0.0,0,False,False,False,False,False
159,A War,2016,1,0,0.0,348674,tt3830162,0,1113277,"['Drama', 'War']",['DK']
160,A Way Out of the Wilderness,1969,1,0,0.0,243327,tt0063796,0,0,[],[]
161,A Wild Hare,1941,1,0,0.0,144904,tt0033260,0,0,"['Animation', 'Family', 'Comedy']",['US']
162,A Woman of Affairs;,1930,1,0,0.0,0,False,False,False,False,False
163,A Woman under the Influence,1975,2,0,0.0,29845,tt0072417,0,0,['Drama'],['US']
164,A Yank in the R.A.F.,1942,1,0,0.0,49609,tt0034405,0,0,"['War', 'Action', 'Drama', 'Romance']",['US']
165,A Year toward Tomorrow,1967,1,1,100.0,243295,tt0061205,0,0,['Documentary'],['US']
166,A.I. Artificial Intelligence,2002,2,0,0.0,644,tt0212720,100000000,235926552,"['Drama', 'Science Fiction', 'Adventure']",['US']
167,Abe Lincoln in Illinois,1941,2,0,0.0,43806,tt0032181,0,0,"['Drama', 'History']",['US']
168,About Schmidt,2003,2,0,0.0,2755,tt0257360,30000000,105834556,"['Drama', 'Comedy']",['US']
