,movie,indication_year,number_indications,victories,percentage_victories,tmdb_id,imdb_id,budget,revenue,genres,production_countries
2565,Predator,1988,1,0,0.0,1,False,False,False,False,False
2566,Prelude,1969,1,0,0.0,1,False,False,False,False,False
2567,Prelude to War,1943,1,1,100.0,1,False,False,False,False,False
2568,Presto,2009,1,0,0.0,1,False,False,False,False,False
2569,Pretty Baby,1979,1,0,0.0,1,False,False,False,False,False
2570,Pretty Woman,1991,1,0,0.0,1,False,False,False,False,False
2571,Pride & Prejudice,2006,4,0,0.0,1,False,False,False,False,False
2572,Pride and Prejudice,1941,1,1,100.0,1,False,False,False,False,False
2573,Pride of the Marines,1946,1,0,0.0,1,False,False,False,False,False
2574,Primal Fear,1997,1,0,0.0,1,False,False,False,False,False
2575,Primary Colors,1999,2,0,0.0,1,False,False,False,False,False
2576,Primrose Path,1941,1,0,0.0,1,False,False,False,False,False
2577,Prince of Foxes,1950,2,0,0.0,1,False,False,False,False,False
2578,Prince of the City,1982,1,0,0.0,1,False,False,False,False,False
2579,Princess O'Rourke,1944,1,1,100.0,1,False,False,False,False,False
2580,Princeton: A Search for Answers,1974,1,1,100.0,0,False,False,False,False,False
2581,Prison Terminal: The Last Days of Private Jack Hall,2014,1,0,0.0,1,False,False,False,False,False
2582,Prisoner of Paradise,2003,1,0,0.0,1,False,False,False,False,False
2583,Prisoner of the Mountains,1997,1,0,0.0,1,False,False,False,False,False
2584,Prisoners,2014,1,0,0.0,1,False,False,False,False,False
2585,Private Benjamin,1981,3,0,0.0,1,False,False,False,False,False
2586,Private Life,1983,1,0,0.0,1,False,False,False,False,False
2587,Private Smith of the U.S.A.,1943,1,0,0.0,1,False,False,False,False,False
2588,Private Worlds,1936,1,0,0.0,1,False,False,False,False,False
2589,Prizzi's Honor,1986,8,1,12.5,1,False,False,False,False,False
2590,Probes in Space,1976,1,0,0.0,1,False,False,False,False,False
2591,Project Hope,1962,1,1,100.0,1,False,False,False,False,False
2592,Prologue,2016,1,0,0.0,0,False,False,False,False,False
2593,Prometheus,2013,1,0,0.0,1,False,False,False,False,False
2594,Promises,2002,1,0,0.0,0,False,False,False,False,False
2595,Promises to Keep,1989,1,0,0.0,1,False,False,False,False,False
2596,Prophet without Honor,1940,1,0,0.0,1,False,False,False,False,False
2597,Psychiatric Nursing,1959,1,0,0.0,1,False,False,False,False,False
2598,Psycho,1961,4,0,0.0,1,False,False,False,False,False
2599,Pulcinella,1974,1,0,0.0,1,False,False,False,False,False
2600,Pulp Fiction,1995,7,1,14.285714285714285,1,False,False,False,False,False
2601,Purple Rain,1985,1,1,100.0,1,False,False,False,False,False
2602,Puss Gets the Boot,1941,1,0,0.0,1,False,False,False,False,False
2603,Puss in Boots,2012,1,0,0.0,1,False,False,False,False,False
2604,Pygmalion,1939,4,1,25.0,1,False,False,False,False,False
2605,Qivitoq,1957,1,0,0.0,1,False,False,False,False,False
2606,Quality Street,1938,1,0,0.0,1,False,False,False,False,False
2607,Queen Bee,1956,2,0,0.0,1,False,False,False,False,False
2608,Queen Margot,1995,1,0,0.0,1,False,False,False,False,False
2609,Quest,1997,1,1,100.0,1,False,False,False,False,False
2610,Quest for Camelot,1999,1,0,0.0,18937,tt0120800,40000000,38172500,"['Fantasy', 'Animation', 'Drama', 'Romance', 'Family']",['US']
2611,Quest for Fire,1983,1,1,100.0,0,False,False,False,False,False
2612,Quicker 'N a Wink,1941,1,1,100.0,236799,tt0032960,0,0,['Documentary'],[]
2613,Quiero Ser (I want to be...),2001,1,1,100.0,244954,tt0216131,0,0,['Drama'],"['DE', 'MX']"
2614,Quiet Please!,1946,1,1,100.0,40164,tt0038011,0,0,['Animation'],['US']
2615,Quills,2001,3,0,0.0,10876,tt0180073,13500000,7060876,['Drama'],"['DE', 'GB', 'US']"
2616,Quiz Show,1995,4,0,0.0,11450,tt0110932,0,0,"['History', 'Drama']",['US']
2617,Quo Vadis,1952,8,0,0.0,11620,tt0043949,8250000,30000000,"['Drama', 'History', 'Romance']",['US']
2618,Rabbit Hole,2011,1,0,0.0,27585,tt0935075,5000000,5129058,['Drama'],['US']
2619,Rabbit à la Berlin,2010,1,0,0.0,129427,tt1410281,0,0,['Documentary'],"['DE', 'PL']"
2620,Rachel Getting Married,2009,1,0,0.0,14976,tt1084950,0,0,['Drama'],['US']
2621,"Rachel, Rachel",1969,4,0,0.0,42635,tt0063483,0,0,"['Drama', 'Romance']",['US']
2622,Racing Extinction,2016,1,0,0.0,300792,tt1618448,0,0,"['Adventure', 'Documentary']",[]
2623,Radio Bikini,1988,1,0,0.0,0,False,False,False,False,False
2624,Radio Days,1988,2,0,0.0,30890,tt0093818,16000000,0,"['Comedy', 'Drama']",['US']
2625,Raffles,1931,1,0,0.0,104439,tt0021281,0,0,"['Adventure', 'Crime', 'Romance']",['US']
2626,Raging Bull,1981,8,2,25.0,1578,tt0081398,18000000,23000000,['Drama'],['US']
2627,Ragtime,1982,8,0,0.0,25566,tt0082970,0,0,['Drama'],['US']
2628,Raiders of the Lost Ark,1982,9,5,55.555555555555564,85,tt0082971,18000000,389925971,"['Adventure', 'Action']",['US']
2629,Rain Man,1989,8,4,50.0,380,tt0095953,25000000,412800000,['Drama'],['US']
2630,Rainbow War,1986,1,0,0.0,213614,tt0089878,0,0,['Adventure'],[]
2631,Raintree County,1958,4,0,0.0,65488,tt0050882,5000000,0,"['Drama', 'Romance']",['US']
2632,Raise the Red Lantern,1992,1,0,0.0,10404,tt0101640,0,0,['Drama'],"['CN', 'HK', 'TW']"
2633,Raju,2012,1,0,0.0,92967,tt1819651,0,0,"['Drama', 'Family']",['DE']
2634,Rambling Rose,1992,2,0,0.0,32221,tt0102753,7500000,6266621,['Drama'],['US']
2635,Rambo: First Blood Part II,1986,1,0,0.0,1369,tt0089880,10000000,0,"['Action', 'Adventure', 'Thriller', 'War']",['US']
2636,Ran,1986,4,1,25.0,11645,tt0089881,11500000,4069653,"['Action', 'Drama', 'History']","['JP', 'FR']"
2637,Random Harvest,1943,7,0,0.0,22387,tt0035238,0,0,"['Drama', 'Romance']",['US']
2638,Rango,2012,1,1,100.0,44896,tt1192628,10000000,0,"['Animation', 'Comedy', 'Family', 'Western', 'Adventure']",['US']
2639,Raoni,1979,1,0,0.0,149352,tt0078140,0,0,[],[]
2640,Rashomon,1953,1,0,0.0,0,False,False,False,False,False
2641,Rasputin and the Empress,1934,1,0,0.0,0,False,False,False,False,False
2642,Ratatouille,2008,5,1,20.0,1,False,False,False,False,False
2643,Raven's End,1965,1,0,0.0,0,False,False,False,False,False
2644,Ray,2005,6,2,33.333333333333336,1,False,False,False,False,False
2645,Ray's Male Heterosexual Dance Hall,1988,1,1,100.0,1,False,False,False,False,False
2646,"Ready, Willing and Able",1938,1,0,0.0,1,False,False,False,False,False
2647,Real Steel,2012,1,0,0.0,1,False,False,False,False,False
2648,Reap the Wild Wind,1943,3,1,33.333333333333336,1,False,False,False,False,False
2649,Rear Window,1955,4,0,0.0,1,False,False,False,False,False
2650,Reason and Emotion,1944,1,0,0.0,1,False,False,False,False,False
2651,Rebecca,1941,11,2,18.181818181818183,1,False,False,False,False,False
2652,Rebel in Paradise,1961,1,0,0.0,1,False,False,False,False,False
2653,Rebel without a Cause,1956,3,0,0.0,1,False,False,False,False,False
2654,"Reci, Reci, Reci... (Words, Words, Words)",1993,1,0,0.0,0,False,False,False,False,False
2655,Recollections of Pavlovsk,1985,1,0,0.0,1,False,False,False,False,False
2656,Recycled Life,2007,1,0,0.0,1,False,False,False,False,False
2657,Red,1995,3,0,0.0,0,False,False,False,False,False
2658,Red Garters,1955,1,0,0.0,1,False,False,False,False,False
2659,Red Grooms: Sunflower in a Hothouse,1987,1,0,0.0,1,False,False,False,False,False
2660,Red River,1949,2,0,0.0,1,False,False,False,False,False
2661,Redemption,2013,1,0,0.0,0,False,False,False,False,False
2662,Reds,1982,12,3,25.0,1,False,False,False,False,False
2663,Redux Riding Hood,1998,1,0,0.0,1,False,False,False,False,False
2664,Regret to Inform,1999,1,0,0.0,0,False,False,False,False,False
2665,Rehearsing a Dream,2007,1,0,0.0,1,False,False,False,False,False
2666,Rejected,2001,1,0,0.0,1,False,False,False,False,False
2667,Rembrandt: A Self-Portrait,1955,1,0,0.0,1,False,False,False,False,False
2668,Remember Me,1980,1,0,0.0,1,False,False,False,False,False
2669,Remo Williams: The Adventure Begins,1986,1,0,0.0,1,False,False,False,False,False
2670,Report from the Aleutians,1944,1,0,0.0,23388,tt0036301,0,0,['Documentary'],['US']
2671,Requiem for a Dream,2001,1,0,0.0,641,tt0180093,4500000,7390108,"['Crime', 'Drama']",['US']
2672,Resisting Enemy Interrogation,1945,1,0,0.0,114459,tt0037215,0,0,['Documentary'],[]
2673,Restoration,1996,2,2,100.0,35196,tt0114272,19000000,0,"['Drama', 'Romance']",['US']
2674,Restrepo,2011,1,0,0.0,39312,tt1559549,0,1422910,"['Documentary', 'War']",['US']
2675,Resurrection,1981,2,0,0.0,98864,tt0081414,0,3910019,"['Drama', 'Fantasy']",['US']
2676,Return of the Jedi,1984,5,1,20.0,1892,tt0086190,32350000,572700000,"['Adventure', 'Action', 'Science Fiction']",['US']
2677,Return of the Seven,1967,1,0,0.0,12639,tt0060897,0,0,['Western'],"['ES', 'US']"
2678,Return to Glennascaul,1954,1,0,0.0,183841,tt0043964,0,0,"['Horror', 'Drama']",['IE']
2679,Return to Oz,1986,1,0,0.0,13155,tt0089908,25000000,11137801,"['Adventure', 'Family', 'Fantasy']","['GB', 'US']"
2680,"Reuben, Reuben",1984,2,0,0.0,31944,tt0084591,0,0,"['Drama', 'Comedy', 'Romance']",['US']
2681,Reunion in Vienna,1934,1,0,0.0,174116,tt0024496,0,0,"['Romance', 'Drama']",['US']
2682,Revanche,2009,1,0,0.0,15451,tt1173745,0,0,"['Crime', 'Drama', 'Romance']",['AT']
2683,Reversal of Fortune,1991,3,1,33.333333333333336,38718,tt0100486,0,15445131,['Drama'],"['JP', 'GB', 'US']"
2684,Revolutionary Road,2009,3,0,0.0,4148,tt0959337,35000000,75225693,"['Drama', 'Romance']","['GB', 'US']"
2685,Rhapsody in Blue,1946,2,0,0.0,43491,tt0038026,0,0,"['Drama', 'Romance']",['US']
2686,Rhapsody in Rivets,1942,1,0,0.0,163052,tt0034097,0,0,[],[]
2687,Rhythm in the Ranks,1942,1,0,0.0,236819,tt0034098,0,0,[],[]
2688,Rhythm on the River,1941,1,0,0.0,128669,tt0032986,0,0,[],[]
2689,"Rich, Young and Pretty",1952,1,0,0.0,131781,tt0043968,0,0,"['Music', 'Comedy', 'Romance']",['US']
2690,Richard III,1957,1,0,0.0,0,False,False,False,False,False
2691,Richard III,1996,2,0,0.0,31174,tt0114279,0,0,"['Drama', 'War']","['GB', 'US']"
2692,Ride the Pink Horse,1948,1,0,0.0,18871,tt0039768,0,0,"['Drama', 'Mystery', 'Thriller']",['US']
2693,Ridicule,1997,1,0,0.0,12709,tt0117477,3000000,2503829,"['Comedy', 'Drama', 'Romance']",['FR']
2694,Ridin' on a Rainbow,1942,1,0,0.0,216554,tt0034106,0,0,"['Western', 'Action']",['US']
2695,Ridin' the Rails,1952,1,0,0.0,242976,tt0043969,0,0,[],[]
2696,Riding High,1944,1,0,0.0,218116,tt0036313,0,0,"['Western', 'Comedy', 'Music']",[]
2697,Rio,2012,1,0,0.0,46195,tt1436562,90000000,484635760,"['Animation', 'Adventure', 'Comedy', 'Family']",['US']
2698,Rip Van Winkle,1979,1,0,0.0,186868,tt0078168,0,0,['Animation'],[]
2699,Rippling Romance,1946,1,0,0.0,240398,tt0038028,0,0,['Animation'],[]
2700,Rise of the Planet of the Apes,2012,1,0,0.0,61791,tt1318514,93000000,482860185,"['Thriller', 'Action', 'Drama', 'Science Fiction']",['US']
2701,Road to Morocco,1943,2,0,0.0,31805,tt0035262,0,0,['Comedy'],['US']
2702,Road to Perdition,2003,6,1,16.666666666666668,4147,tt0257044,80000000,181001478,"['Thriller', 'Crime', 'Drama']",['US']
2703,Road to Rio,1948,1,0,0.0,31980,tt0039776,0,0,['Comedy'],['US']
2704,Road to Utopia,1947,1,0,0.0,29021,tt0038032,0,0,['Comedy'],['US']
2705,Rob Roy,1996,1,0,0.0,11780,tt0114287,28000000,31596911,['Adventure'],"['GB', 'US']"
2706,Robert Frost: A Lover's Quarrel with the World,1964,1,1,100.0,114509,tt0057459,0,0,['Documentary'],['US']
2707,Robert Kennedy Remembered,1969,1,1,100.0,243319,tt0063514,0,0,[],[]
2708,Roberta,1936,1,0,0.0,31798,tt0026942,0,0,"['Comedy', 'Music', 'Romance']",['US']
2709,Robin Hood,1974,1,0,0.0,11886,tt0070608,15000000,32056467,"['Animation', 'Family']",['US']
2710,Robin Hood: Prince of Thieves,1992,1,0,0.0,8367,tt0102798,48000000,390493908,['Adventure'],['US']
2711,Robin Hoodlum,1949,1,0,0.0,103978,tt0040741,0,0,"['Comedy', 'Animation']",['US']
2712,Robin and the 7 Hoods,1965,2,0,0.0,17696,tt0058529,0,0,"['Music', 'Comedy', 'Crime']",['US']
2713,RoboCop,1988,3,1,33.333333333333336,5548,tt0093870,13000000,53000000,"['Action', 'Thriller', 'Science Fiction']",['US']
2714,Rocky,1977,10,3,30.0,1366,tt0075148,1000000,117235147,['Drama'],['US']
2715,Rocky III,1983,1,0,0.0,1371,tt0084602,17000000,270000000,['Drama'],['US']
2716,Rogue Cop,1955,1,0,0.0,30036,tt0047424,0,0,['Crime'],['US']
2717,Rogue One: A Star Wars Story,2017,2,0,0.0,330459,tt3748528,200000000,1056057273,"['Action', 'Adventure', 'Science Fiction']",['US']
2718,Roller Derby Girl,1950,1,0,0.0,240462,tt0041817,0,0,[],[]
2719,Roman Holiday,1954,10,3,30.0,804,tt0046250,1500000,12000000,"['Comedy', 'Romance']",['US']
2720,Romance of Radium,1938,1,0,0.0,170636,tt0029497,0,0,"['History', 'Documentary']",['US']
2721,Romance of Transportation,1953,1,0,0.0,242996,tt0045100,0,0,[],[]
2722,Romance on the High Seas,1949,2,0,0.0,43449,tt0040745,0,0,"['Comedy', 'Music', 'Romance']",['US']
2723,Romancing the Stone,1985,1,0,0.0,9326,tt0088011,10000000,86572238,"['Action', 'Adventure', 'Comedy', 'Romance']","['MX', 'US']"
2724,Romeo and Juliet,1937,4,0,0.0,43879,tt0028203,0,0,"['Drama', 'Romance']",['US']
2725,Romeo and Juliet,1969,4,2,50.0,6003,tt0063518,0,38901218,"['Drama', 'Romance']","['IT', 'GB']"
2726,Rooftops of New York,1962,1,0,0.0,243207,tt0055384,0,0,[],[]
2727,Room,2016,4,1,25.0,264644,tt3170832,6000000,35401758,"['Drama', 'Thriller']","['CA', 'IE']"
2728,Room at the Top,1960,6,2,33.333333333333336,43103,tt0053226,0,0,"['Romance', 'Drama']",['GB']
2729,Room on the Broom,2014,1,0,0.0,0,False,False,False,False,False
2730,Roommates,1996,1,0,0.0,161495,tt0114296,22000000,12400000,"['Drama', 'Comedy']",['US']
2731,Rooty Toot Toot,1952,1,0,0.0,103956,tt0043980,0,0,"['Animation', 'Crime', 'Music']",['US']
2732,Rose Kennedy: A Life to Remember,1991,1,0,0.0,244728,tt0100517,0,0,['Documentary'],[]
2733,Rosemary's Baby,1969,2,1,50.0,805,tt0063522,3200000,33395426,"['Horror', 'Drama', 'Mystery']",['US']
2734,Royal Scotland,1953,1,0,0.0,242991,tt0045108,0,0,[],[]
2735,Royal Wedding,1952,1,0,0.0,18646,tt0043983,0,0,"['Comedy', 'Music', 'Romance']",['US']
2736,Rugged Bear,1954,1,0,0.0,67165,tt0046256,0,0,['Animation'],['US']
2737,Ruggles of Red Gap,1936,1,0,0.0,36006,tt0026955,0,0,"['Comedy', 'Romance']",['US']
2738,Runaway Brain,1996,1,0,0.0,67166,tt0114308,0,0,"['Horror', 'Animation', 'Comedy']",[]
2739,Runaway Train,1986,3,0,0.0,11893,tt0089941,9000000,7936012,"['Action', 'Thriller']","['IL', 'US']"
2740,Running on Empty,1989,2,0,0.0,18197,tt0096018,0,2835116,['Drama'],['US']
2741,Russian Soil,1942,1,0,0.0,236822,tt1847681,0,0,[],[]
2742,Ryan,2005,1,1,100.0,48329,tt0414469,0,0,"['Fantasy', 'Documentary', 'Animation', 'Drama']",['CA']
2743,Ryan's Daughter,1971,4,2,50.0,38953,tt0066319,0,0,"['Drama', 'Romance']",['GB']
2744,Sabrina,1996,2,0,0.0,11860,tt0114319,58000000,0,"['Comedy', 'Romance']","['DE', 'US']"
2745,Sabrina,1955,6,1,16.666666666666668,6620,tt0047437,2238813,10000000,"['Comedy', 'Drama', 'Romance']",['US']
2746,Sadie Thompson,1929,1,0,0.0,42538,tt0019344,0,0,"['Drama', 'Romance']",['US']
2747,Sagebrush and Silver,1942,1,0,0.0,236815,tt0034143,0,0,[],[]
2748,Sahara,1944,3,0,0.0,18783,tt0036323,0,0,"['Action', 'Adventure', 'Drama', 'War']",['US']
2749,Saint Matthew Passion,1967,1,0,0.0,243303,tt0060927,0,0,[],[]
2750,Salaam Bombay!,1989,1,0,0.0,45129,tt0096028,0,2080046,"['Drama', 'Crime']","['FR', 'IN', 'GB']"
2751,Salim Baba,2008,1,0,0.0,245026,tt1157707,0,0,[],[]
2752,Sallah,1965,1,0,0.0,116762,tt0058541,0,0,['Comedy'],['IL']
2753,Sally,1931,1,0,0.0,0,False,False,False,False,False
2754,Salt,2011,1,0,0.0,27576,tt0944835,110000000,293329073,"['Action', 'Mystery', 'Thriller']",['US']
2755,Salty O'Rourke,1946,1,0,0.0,126381,tt0038047,0,0,['Drama'],['US']
2756,Saludos Amigos,1944,3,0,0.0,0,False,False,False,False,False
2757,Salvador,1987,2,0,0.0,6106,tt0091886,4500000,0,"['Drama', 'History', 'Thriller']","['GB', 'US']"
2758,Sam,1987,1,0,0.0,244683,tt0091887,0,0,[],[]
2759,Samba-Mania,1949,1,0,0.0,240442,tt0040756,0,0,[],[]
2760,"Same Time, Next Year",1979,4,0,0.0,37672,tt0078199,118,19,"['Comedy', 'Drama', 'Romance']",['US']
2761,Samoa,1957,1,0,0.0,243037,tt0049709,0,0,"['Family', 'Documentary']",[]
2762,Samson and Delilah,1951,5,2,40.0,0,False,False,False,False,False
2763,San Antonio,1946,2,0,0.0,17818,tt0038048,0,0,"['Action', 'Comedy', 'Drama', 'Romance', 'Western']",['US']
2764,San Francisco,1937,6,1,16.666666666666668,43881,tt0028216,1300000,5273000,"['Music', 'Drama', 'Romance']",['US']
2765,Sand,1950,1,0,0.0,217190,tt0041840,0,0,['Western'],['US']
2766,Sandakan No. 8,1976,1,0,0.0,0,False,False,False,False,False
2767,Sands of Iwo Jima,1950,4,0,0.0,18712,tt0041841,1000000,7800000,"['Action', 'Drama', 'History', 'War']",['US']
2768,Sandy Claws,1955,1,0,0.0,168018,tt0048581,0,0,['Animation'],['US']
2769,Sanjay's Super Team,2016,1,0,0.0,345637,tt4661600,0,0,['Animation'],['US']
2770,Saraband,1950,1,0,0.0,0,False,False,False,False,False
2771,Sarah and Son,1931,1,0,0.0,104216,tt0021335,0,0,['Drama'],['US']
2772,Saratoga Trunk,1947,1,0,0.0,0,False,False,False,False,False
2773,Sari's Mother,2008,1,0,0.0,0,False,False,False,False,False
2774,Saturday Night Fever,1978,1,0,0.0,11009,tt0076666,3500000,237113184,"['Drama', 'Music']",['US']
2775,Save the Tiger,1974,3,1,33.333333333333336,38714,tt0070640,0,0,['Drama'],['US']
2776,Saving Face,2012,1,1,100.0,0,False,False,False,False,False
2777,Saving Mr. Banks,2014,1,0,0.0,140823,tt2140373,35000000,112544580,"['Comedy', 'Drama', 'History']","['AU', 'GB', 'US']"
2778,Saving Private Ryan,1999,11,5,45.45454545454545,857,tt0120815,70000000,481840909,"['Drama', 'History', 'War']",['US']
2779,Say Goodbye,1971,1,0,0.0,0,False,False,False,False,False
2780,Say One for Me,1960,1,0,0.0,111031,tt0053245,0,0,"['Romance', 'Comedy', 'Music']",['US']
2781,Sayonara,1958,10,4,40.0,40885,tt0050933,0,0,"['Drama', 'Romance']",['US']
2782,Scared Straight!,1979,1,1,100.0,92215,tt0078205,0,0,['Documentary'],['US']
2783,Scent of a Woman,1976,2,0,0.0,0,False,False,False,False,False
2784,Scent of a Woman,1993,4,1,25.0,9475,tt0105323,31000000,134095253,['Drama'],['US']
2785,Schindler's List,1994,12,7,58.33333333333334,424,tt0108052,22000000,321365567,"['Drama', 'History', 'War']",['US']
2786,School in the Mailbox,1948,1,0,0.0,240437,tt0039802,0,0,[],[]
2787,School of Assassins,1995,1,0,0.0,244884,tt0111088,0,0,[],[]
2788,Schtonk!,1993,1,0,0.0,6547,tt0105328,0,0,"['History', 'Comedy']",['DE']
2789,Scottsboro: An American Tragedy,2001,1,0,0.0,70564,tt0240885,0,0,['Documentary'],[]
2790,Scratch-As-Catch-Can,1933,1,0,0.0,0,False,False,False,False,False
2791,Screen Play,1993,1,0,0.0,1,False,False,False,False,False
2792,Screen Snapshots' 25th Anniversary,1946,1,0,0.0,1,False,False,False,False,False
2793,Screen Snapshots' 50th Anniversary of Motion Pictures,1945,1,0,0.0,0,False,False,False,False,False
2794,Screen Souvenirs,1933,1,0,0.0,1,False,False,False,False,False
2795,Scrooge,1971,4,0,0.0,1,False,False,False,False,False
2796,Scrooged,1989,1,0,0.0,1,False,False,False,False,False
2797,Seabiscuit,2004,7,0,0.0,1,False,False,False,False,False
2798,Seal Island,1949,1,1,100.0,1,False,False,False,False,False
2799,Seance on a Wet Afternoon,1965,1,0,0.0,1,False,False,False,False,False
2800,Searching for Bobby Fischer,1994,1,0,0.0,1,False,False,False,False,False
2801,Searching for Sugar Man,2013,1,1,100.0,1,False,False,False,False,False
2802,Seawards the Great Ships,1962,1,1,100.0,1,False,False,False,False,False
2803,Second Chorus,1941,2,0,0.0,1,False,False,False,False,False
2804,Second Class Mail,1986,1,0,0.0,1,False,False,False,False,False
2805,Second Fiddle,1940,1,0,0.0,1,False,False,False,False,False
2806,Seconds,1967,1,0,0.0,1,False,False,False,False,False
2807,Secret Command,1945,1,0,0.0,1,False,False,False,False,False
2808,Secrets & Lies,1997,5,0,0.0,1,False,False,False,False,False
2809,Secrets of the Heart,1998,1,0,0.0,1,False,False,False,False,False
2810,See What I Say,1982,1,0,0.0,1,False,False,False,False,False
2811,See You at the Pillar,1968,1,0,0.0,1,False,False,False,False,False
2812,Seeds of Destiny,1947,1,1,100.0,1,False,False,False,False,False
2813,Seeing Hands,1944,1,0,0.0,1,False,False,False,False,False
2814,Seeing Red,1984,1,0,0.0,1,False,False,False,False,False
2815,Self Defense--For Cowards,1963,1,0,0.0,1,False,False,False,False,False
2816,Selling Out,1973,1,0,0.0,1,False,False,False,False,False
2817,Selma,2015,2,1,50.0,0,False,False,False,False,False
2818,Sensations of 1945,1945,1,0,0.0,1,False,False,False,False,False
2819,Sense and Sensibility,1996,7,1,14.285714285714285,1,False,False,False,False,False
2820,Sentinels of Silence,1972,2,2,100.0,243349,tt0067733,0,0,['Documentary'],[]
2821,Senzeni Na? (What Have We Done?),1991,1,0,0.0,0,False,False,False,False,False
2822,Separate Tables,1959,7,2,28.57142857142857,43136,tt0052182,0,0,"['Drama', 'Romance']",['US']
2823,Seraglio,2001,1,0,0.0,244960,tt0262758,0,0,[],[]
2824,Serengeti Shall Not Die,1960,1,1,100.0,12552,tt0053268,0,0,['Documentary'],['DE']
2825,Sergeant York,1942,11,2,18.181818181818183,16442,tt0034167,1400000,16361885,"['Action', 'Drama', 'History', 'War']",['US']
2826,Serpico,1974,2,0,0.0,9040,tt0070666,3000000,29800000,"['Crime', 'Drama', 'History']","['IT', 'US']"
2827,Servant of a Nation,1944,1,0,0.0,0,False,False,False,False,False
2828,Service with the Colors,1941,1,0,0.0,236796,tt0033037,0,0,[],[]
2829,Session Man,1992,1,1,100.0,244729,tt0108086,0,0,[],[]
2830,Seven,1996,1,0,0.0,0,False,False,False,False,False
2831,Seven Beauties,1977,4,0,0.0,0,False,False,False,False,False
2832,Seven Brides for Seven Brothers,1955,5,1,20.0,16563,tt0047472,0,5000000,"['Comedy', 'Drama', 'Western', 'Music']",['US']
2833,Seven Days in May,1965,2,0,0.0,23518,tt0058576,0,0,"['Drama', 'Thriller']",['US']
2834,Seven Days to Noon,1952,1,1,100.0,0,False,False,False,False,False
2835,Seven Thieves,1961,1,0,0.0,64605,tt0054295,0,0,"['Action', 'Crime', 'Thriller']",['US']
2836,Sewing Woman,1984,1,0,0.0,0,False,False,False,False,False
2837,Sexy Beast,2002,1,0,0.0,0,False,False,False,False,False
2838,Shadow of a Doubt,1944,1,0,0.0,21734,tt0036342,0,0,"['Crime', 'Drama', 'Thriller']",['US']
2839,Shadow of the Vampire,2001,2,0,0.0,10873,tt0189998,8000000,8279017,"['Drama', 'Horror']","['LU', 'GB', 'US']"
2840,Shadowlands,1994,2,0,0.0,10445,tt0108101,22000000,0,"['Drama', 'Romance']",['GB']
2841,Shaft,1972,2,1,50.0,482,tt0067741,4000000,12121618,"['Adventure', 'Action', 'Thriller', 'Crime']",['US']
2842,Shakespeare in Love,1999,13,7,53.846153846153854,1934,tt0138097,25000000,289317794,"['History', 'Romance']",['US']
2843,Shall We Dance,1938,1,0,0.0,31530,tt0029546,0,0,"['Comedy', 'Music', 'Romance']",['US']
2844,Shampoo,1976,4,1,25.0,31121,tt0073692,0,0,"['Comedy', 'Drama', 'Romance']",['US']
2845,Shane,1954,6,1,16.666666666666668,3110,tt0046303,3100000,20000000,"['Drama', 'Western']",['US']
2846,Shanghai Express,1933,3,1,33.333333333333336,875,tt0023458,0,0,"['Romance', 'Drama']",['US']
2847,Shanghai Triad,1996,1,0,0.0,37557,tt0115012,0,0,"['Drama', 'Crime']","['CN', 'FR']"
2848,Shanks,1975,1,0,0.0,29399,tt0072149,0,0,"['Fantasy', 'Horror']",['US']
2849,Shark Tale,2005,1,0,0.0,10555,tt0307453,75000000,367275019,"['Animation', 'Action', 'Comedy', 'Family']",['US']
2850,Shaun the Sheep Movie,2016,1,0,0.0,263109,tt2872750,0,59700000,"['Family', 'Animation', 'Comedy', 'Adventure']","['FR', 'GB']"
2851,She,1936,1,0,0.0,60566,tt0026983,0,0,"['Adventure', 'Fantasy']",['US']
2852,She Done Him Wrong,1934,1,0,0.0,43595,tt0024548,200000,2200000,['Comedy'],['US']
2853,She Loves Me Not,1935,1,0,0.0,111582,tt0025774,0,0,[],[]
2854,She Married a Cop,1940,1,0,0.0,218323,tt0031921,0,0,['Comedy'],['US']
2855,She Wore a Yellow Ribbon,1950,1,1,100.0,13909,tt0041866,1600000,5400000,['Western'],['US']
2856,Shenandoah,1966,1,0,0.0,21027,tt0059711,0,0,"['Action', 'Adventure', 'Drama', 'Western']",['US']
2857,Sherlock Holmes,2010,2,0,0.0,10528,tt0988045,90000000,524028679,"['Action', 'Adventure', 'Crime', 'Mystery']","['DE', 'GB', 'US']"
2858,Shine,1997,7,1,14.285714285714285,7863,tt0117631,0,0,['Drama'],['AU']
2859,Ship of Fools,1966,8,2,25.0,30080,tt0059712,0,0,"['Drama', 'War', 'Romance']",['US']
2860,Shirley Valentine,1990,2,0,0.0,18683,tt0098319,0,0,"['Romance', 'Comedy', 'Drama']","['GB', 'US']"
2861,Shoe-Shine,1948,1,0,0.0,423794,tt0152414,0,0,[],[]
2862,Shoeshine,1988,1,0,0.0,244687,tt0093960,0,0,[],[]
2863,Shok,2016,1,0,0.0,0,False,False,False,False,False
2864,Short Cuts,1994,1,0,0.0,695,tt0108122,0,6110979,"['Comedy', 'Drama']",['US']
2865,Should Wives Work?,1938,1,0,0.0,233704,tt0029555,0,0,[],[]
2866,Show Boat,1952,2,0,0.0,17820,tt0044030,2300000,11000000,"['Music', 'Romance']",['US']
