movie,indication_year,number_indications,victories,percentage_victories,tmdb_id
The Lord of the Rings: The Fellowship of the Ring,2002,13,4,30.76923076923077,120
"Crouching Tiger, Hidden Dragon",2001,10,4,40.0,146
The Song of Bernadette,1944,12,4,33.333333333333336,43516
Network,1977,10,4,40.0,10774
Sayonara,1958,10,4,40.0,40885
Tom Jones,1964,10,4,40.0,5769
Hannah and Her Sisters,1987,7,3,42.857142857142854,5143
Darling,1966,5,3,60.0,24134
The Adventures of Robin Hood,1939,4,3,75.0,10907
Dangerous Liaisons,1989,7,3,42.857142857142854,859
The Pianist,2003,7,3,42.857142857142854,423
The Revenant,2016,12,3,25.0,281957
Cimarron,1932,7,3,42.857142857142854,42861
Brokeback Mountain,2006,8,3,37.5,142
Love Is a Many-Splendored Thing,1956,8,3,37.5,53879
Sunset Blvd.,1951,11,3,27.272727272727273,599
The Towering Inferno,1975,8,3,37.5,5919
Casablanca,1944,8,3,37.5,0
The Diary of Anne Frank,1960,8,3,37.5,2576
On Golden Pond,1982,10,3,30.0,11816
Coming Home,1979,8,3,37.5,31657
Yankee Doodle Dandy,1943,8,3,37.5,3087
The Bourne Ultimatum,2008,3,3,100.0,2503
To Kill a Mockingbird,1963,8,3,37.5,595
Camelot,1968,5,3,60.0,18978
Crash,2006,6,3,50.0,0
Gentleman's Agreement,1948,8,3,37.5,33667
A Room with a View,1987,8,3,37.5,0
The Piano,1994,8,3,37.5,713
Zorba the Greek,1965,7,3,42.857142857142854,10604
Grand Prix,1967,3,3,100.0,20379
Julia,1978,11,3,27.272727272727273,42222
The Godfather,1973,11,3,27.272727272727273,238
Dick Tracy,1991,7,3,42.857142857142854,8592
Dallas Buyers Club,2014,6,3,50.0,152532
Argo,2013,7,3,42.857142857142854,68734
Memoirs of a Geisha,2006,6,3,50.0,1904
Midnight Cowboy,1970,7,3,42.857142857142854,3116
Reds,1982,12,3,25.0,18254
Bram Stoker's Dracula,1993,4,3,75.0,6114
The Killing Fields,1985,7,3,42.857142857142854,625
Moonstruck,1988,6,3,50.0,2039
The Great Ziegfeld,1937,7,3,42.857142857142854,43277
Jurassic Park,1994,3,3,100.0,329
Tess,1981,6,3,50.0,413194
Miracle on 34th Street,1948,4,3,75.0,11881
Who Framed Roger Rabbit,1989,6,3,50.0,856
The Lion in Winter,1969,7,3,42.857142857142854,18988
Pan's Labyrinth,2007,6,3,50.0,1417
Hud,1964,7,3,42.857142857142854,24748
Whiplash,2015,5,3,60.0,244786
Les Misérables,2013,8,3,37.5,82695
The Story of Louis Pasteur,1937,4,3,75.0,74469
"Hello, Dolly!",1970,7,3,42.857142857142854,14030
Life Is Beautiful,1999,7,3,42.857142857142854,0
12 Years a Slave,2014,9,3,33.333333333333336,76203
All the King's Men,1950,7,3,42.857142857142854,25430
Elmer Gantry,1961,5,3,60.0,22013
King Kong,2006,4,3,75.0,254
Glory,1990,5,3,60.0,9665
Moonlight,2017,8,3,37.5,376867
The Rose Tattoo,1956,8,3,37.5,65550
Roman Holiday,1954,10,3,30.0,804
Fiddler on the Roof,1972,8,3,37.5,14811
Howards End,1993,9,3,33.333333333333336,8293
The Social Network,2011,8,3,37.5,37799
How the West Was Won,1964,8,3,37.5,0
Cavalcade,1934,4,3,75.0,56164
Jaws,1976,4,3,75.0,578
The Treasure of the Sierra Madre,1949,4,3,75.0,3090
Rocky,1977,10,3,30.0,1366
The Life of Emile Zola,1938,10,3,30.0,43278
Sunrise,1929,4,3,75.0,0
7th Heaven,1929,5,3,60.0,0
Avatar,2010,9,3,33.333333333333336,19995
The Thief of Bagdad,1941,4,3,75.0,12232
The Curious Case of Benjamin Button,2009,13,3,23.076923076923077,4922
Spotlight,2016,6,2,33.333333333333336,314365
Mystic River,2004,6,2,33.333333333333336,322
Black Hawk Down,2002,4,2,50.0,855
Doctor Dolittle,1968,9,2,22.22222222222222,16081
